Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
3702,5222,13581385,TEX,TEX00369854,Cornelius H. Mueller,,,1932-07-25,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13577134,TEX,TEX00364316,Cornelius H. Mueller,,8896.0,1932-07-25,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13546641,TEX,TEX00321445,Cornelius H. Mueller,,8957.0,1932-07-25,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13578564,TEX,TEX00366151,Cornelius H. Mueller,,,1932-07-26,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13583534,TEX,TEX00378793,Cornelius H. Mueller,,,1932-07-26,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13451797,LL,LL00368201,Cornelius H. Mueller,,,1932-07-28,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13564612,TEX,TEX00345867,Cornelius H. Mueller,,,1932-07-28,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13548752,TEX,TEX00324489,Cornelius H. Mueller,,,1932-07-28,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13569682,TEX,TEX00352861,Cornelius H. Mueller,,,1932-07-29,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13601961,TEX,TEX00404360,Cornelius H. Mueller,,,1932-07-30,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13574827,TEX,TEX00361013,Cornelius H. Mueller,,8252.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13574922,TEX,TEX00361232,Cornelius H. Mueller,,8253.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13551026,TEX,TEX00327543,Cornelius H. Mueller,,8075.0,,,United States,Texas,Brewster,,Chisos Mt.,,,,,,,,,,,,341
3702,5222,13575342,TEX,TEX00361924,Cornelius H. Mueller,,8259.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13560136,TEX,TEX00339790,Cornelius H. Mueller,,8257.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13566441,TEX,TEX00348333,Cornelius H. Mueller,,8255.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13574829,TEX,TEX00361020,Cornelius H. Mueller,,8254.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13575088,TEX,TEX00361519,Cornelius H. Mueller,,8266.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13560114,TEX,TEX00339756,Cornelius H. Mueller,,8256.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13613167,TEX,TEX00427352,Cornelius H. Mueller,,8264.0,,,United States,Texas,Brewster,,Chisos Mtns.,,,,,,,,,,,,341
3702,5222,13566547,TEX,TEX00348507,Cornelius H. Mueller,,,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13575177,TEX,TEX00361681,Cornelius H. Mueller,,8265.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5222,13566794,TEX,TEX00348907,Cornelius H. Mueller,,8261.0,,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5223,13592137,TEX,TEX00391144,Cornelius H. Mueller,,8185.0,1931-08-02,,United States,Texas,Brewster,,Chisos Mts.,,29.246864,-103.284808,,10000.0,,,,,,,341
3702,5223,13570846,TEX,TEX00354757,Cornelius H. Mueller,,,1931-08-02,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5223,29183685,LL,LL00116743,Cornelius H. Mueller,,8179.0,1931-08-05,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5223,13587420,TEX,TEX00384773,Cornelius H. Mueller,,,1931-08-07,,United States,Texas,Brewster,,Chisos Mts.,,29.207905,-103.310214,,10000.0,,,,,,,341
3702,5223,13579616,TEX,TEX00367484,Cornelius H. Mueller,,,1931-08-08,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,31234916,TEX,TEX00370738,Cornelius H. Mueller,,8571.0,1932-07-06,"Dry, upper canyon.",United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,31234917,TEX,TEX00370739,Cornelius H. Mueller,,8571.0,1932-07-06,"Dry, upper canyon.",United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,13570698,TEX,TEX00354549,Cornelius H. Mueller,,,1932-07-06,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,13533393,TEX,TEX00301043,Cornelius H. Mueller,,,1932-07-06,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,13441704,LL,LL00328527,Cornelius H. Mueller,,,1932-07-07,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,13551665,TEX,TEX00328511,Cornelius H. Mueller,,,1932-07-07,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,13523589,TEX,TEX00286911,Cornelius H. Mueller,,,1932-07-08,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5224,13613105,TEX,TEX00427254,Cornelius H. Mueller,,,1932-07-08,,United States,Texas,Brewster,,Chisos Mtns.,,,,,,,,,,,,341
3702,5224,13549411,TEX,TEX00325368,Cornelius H. Mueller,,,1932-07-09,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5225,13451419,LL,LL00366388,Cornelius H. Mueller,,7890.0,1931-08-22,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5225,13578790,TEX,TEX00366455,Cornelius H. Mueller,,7890.0,1931-08-22,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5225,13577293,TEX,TEX00364529,Cornelius H. Mueller,,7899.0,1931-08-22,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5226,13451375,LL,LL00366236,Cornelius H. Mueller,,,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,29.207905,-103.310214,,10000.0,,,,,,,341
3702,5226,13578563,TEX,TEX00366149,Cornelius H. Mueller,,,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,29.207905,-103.310214,,10000.0,,,,,,,341
3702,5226,13493598,TEX,TEX00023913,Cornelius H. Mueller,,8957.0,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5226,13534509,TEX,TEX00302604,Cornelius H. Mueller,,8286.0,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
3702,5226,13598125,TEX,TEX00399007,Cornelius H. Mueller,,8132.0,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,29.274996,-103.275916,,10000.0,,,,,,,341
3702,5226,13569742,TEX,TEX00352949,Cornelius H. Mueller,,8013.0,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,29.207905,-103.310214,,10000.0,,,,,,,341
3702,5226,13581320,TEX,TEX00369771,Cornelius H. Mueller,,8152.0,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,29.207905,-103.310214,,10000.0,,,,,,,341
3702,5226,13579509,TEX,TEX00367340,Cornelius H. Mueller,,7833.0,1931-06-17,,United States,Texas,Brewster,,Chisos Mts.,,,,,,,,,,,,341
